year,prefecture,sales_quantity_kl,sales_source,production_quantity_kl,production_source,region
1965,岐阜,17771.0,jikeiretsu_13,,,中部
1965,静岡,38502.0,jikeiretsu_13,,,中部
1965,愛知,43133.0,jikeiretsu_13,,,中部
1965,三重,15197.0,jikeiretsu_13,,,中部
1965,滋賀,10595.0,jikeiretsu_13,,,近畿
1965,京都,22494.0,jikeiretsu_13,,,近畿
1965,大阪,77331.0,jikeiretsu_13,,,近畿
1965,兵庫,48631.0,jikeiretsu_13,,,近畿
1965,奈良,8596.0,jikeiretsu_13,,,近畿
1965,和歌山,12588.0,jikeiretsu_13,,,近畿
1965,鳥取,9485.0,jikeiretsu_13,,,中国
1965,島根,13404.0,jikeiretsu_13,,,中国
1965,岡山,20180.0,jikeiretsu_13,,,中国
1965,広島,31650.0,jikeiretsu_13,,,中国
1965,山口,21826.0,jikeiretsu_13,,,中国
1965,徳島,9411.0,jikeiretsu_13,,,四国
1965,香川,9300.0,jikeiretsu_13,,,四国
1965,愛媛,17960.0,jikeiretsu_13,,,四国
1965,高知,12029.0,jikeiretsu_13,,,四国
1965,福岡,56515.0,jikeiretsu_13,,,九州・沖縄
1965,佐賀,13159.0,jikeiretsu_13,,,九州・沖縄
1965,長崎,20186.0,jikeiretsu_13,,,九州・沖縄
1965,熊本,17309.0,jikeiretsu_13,,,九州・沖縄
1965,大分,15570.0,jikeiretsu_13,,,九州・沖縄
1965,宮崎,3236.0,jikeiretsu_13,,,九州・沖縄
1965,鹿児島,2287.0,jikeiretsu_13,,,九州・沖縄
1965,沖縄,,jikeiretsu_13,,,九州・沖縄
1966,北海道,78019.0,jikeiretsu_13,,,北海道
1966,青森,23513.0,jikeiretsu_13,,,東北
1966,岩手,23964.0,jikeiretsu_13,,,東北
1966,宮城,28098.0,jikeiretsu_13,,,東北
1966,秋田,26810.0,jikeiretsu_13,,,東北
1966,山形,22150.0,jikeiretsu_13,,,東北
1966,福島,32651.0,jikeiretsu_13,,,東北
1966,茨城,29440.0,jikeiretsu_13,,,関東
1966,栃木,23107.0,jikeiretsu_13,,,関東
1966,群馬,22555.0,jikeiretsu_13,,,関東
1966,埼玉,38828.0,jikeiretsu_13,,,関東
1966,千葉,34404.0,jikeiretsu_13,,,関東
1966,東京,136551.0,jikeiretsu_13,,,関東
1966,神奈川,56090.0,jikeiretsu_13,,,関東
1966,新潟,41474.0,jikeiretsu_13,,,中部
1966,富山,17019.0,jikeiretsu_13,,,中部
1966,石川,15258.0,jikeiretsu_13,,,中部
1966,福井,10711.0,jikeiretsu_13,,,中部
1966,山梨,11660.0,jikeiretsu_13,,,中部
1966,長野,32198.0,jikeiretsu_13,,,中部
1966,岐阜,19496.0,jikeiretsu_13,,,中部
1966,静岡,42576.0,jikeiretsu_13,,,中部
1966,愛知,48448.0,jikeiretsu_13,,,中部
1966,三重,16936.0,jikeiretsu_13,,,中部
1966,滋賀,11565.0,jikeiretsu_13,,,近畿
1966,京都,24935.0,jikeiretsu_13,,,近畿
1966,大阪,87507.0,jikeiretsu_13,,,近畿
1966,兵庫,53374.0,jikeiretsu_13,,,近畿
1966,奈良,9757.0,jikeiretsu_13,,,近畿
1966,和歌山,14660.0,jikeiretsu_13,,,近畿
1966,鳥取,11993.0,jikeiretsu_13,,,中国
1966,島根,15187.0,jikeiretsu_13,,,中国
1966,岡山,23061.0,jikeiretsu_13,,,中国
1966,広島,36463.0,jikeiretsu_13,,,中国
1966,山口,24951.0,jikeiretsu_13,,,中国
1966,徳島,10604.0,jikeiretsu_13,,,四国
1966,香川,11670.0,jikeiretsu_13,,,四国
1966,愛媛,21249.0,jikeiretsu_13,,,四国
1966,高知,14114.0,jikeiretsu_13,,,四国
1966,福岡,62240.0,jikeiretsu_13,,,九州・沖縄
1966,佐賀,14896.0,jikeiretsu_13,,,九州・沖縄
1966,長崎,22382.0,jikeiretsu_13,,,九州・沖縄
1966,熊本,19132.0,jikeiretsu_13,,,九州・沖縄
1966,大分,16884.0,jikeiretsu_13,,,九州・沖縄
1966,宮崎,3206.0,jikeiretsu_13,,,九州・沖縄
1966,鹿児島,2126.0,jikeiretsu_13,,,九州・沖縄
1966,沖縄,,jikeiretsu_13,,,九州・沖縄
1967,北海道,75147.0,jikeiretsu_13,,,北海道
1967,青森,24772.0,jikeiretsu_13,,,東北
1967,岩手,23589.0,jikeiretsu_13,,,東北
1967,宮城,29294.0,jikeiretsu_13,,,東北
1967,秋田,28502.0,jikeiretsu_13,,,東北
1967,山形,22593.0,jikeiretsu_13,,,東北
1967,福島,33413.0,jikeiretsu_13,,,東北
1967,茨城,31764.0,jikeiretsu_13,,,関東
1967,栃木,23665.0,jikeiretsu_13,,,関東
1967,群馬,22978.0,jikeiretsu_13,,,関東
1967,埼玉,40342.0,jikeiretsu_13,,,関東
1967,千葉,36770.0,jikeiretsu_13,,,関東
1967,東京,137639.0,jikeiretsu_13,,,関東
1967,神奈川,57770.0,jikeiretsu_13,,,関東
1967,新潟,41554.0,jikeiretsu_13,,,中部
1967,富山,16023.0,jikeiretsu_13,,,中部
1967,石川,15307.0,jikeiretsu_13,,,中部
1967,福井,10955.0,jikeiretsu_13,,,中部
1967,山梨,11786.0,jikeiretsu_13,,,中部
1967,長野,31794.0,jikeiretsu_13,,,中部
1967,岐阜,19761.0,jikeiretsu_13,,,中部
1967,静岡,43126.0,jikeiretsu_13,,,中部
1967,愛知,50668.0,jikeiretsu_13,,,中部
1967,三重,16944.0,jikeiretsu_13,,,中部
1967,滋賀,11863.0,jikeiretsu_13,,,近畿
1967,京都,25632.0,jikeiretsu_13,,,近畿
1967,大阪,90543.0,jikeiretsu_13,,,近畿
1967,兵庫,54320.0,jikeiretsu_13,,,近畿
1967,奈良,10303.0,jikeiretsu_13,,,近畿
1967,和歌山,14827.0,jikeiretsu_13,,,近畿
1967,鳥取,11007.0,jikeiretsu_13,,,中国
1967,島根,15011.0,jikeiretsu_13,,,中国
1967,岡山,23414.0,jikeiretsu_13,,,中国
1967,広島,37550.0,jikeiretsu_13,,,中国
1967,山口,24385.0,jikeiretsu_13,,,中国
1967,徳島,10602.0,jikeiretsu_13,,,四国
1967,香川,11338.0,jikeiretsu_13,,,四国
1967,愛媛,18979.0,jikeiretsu_13,,,四国
1967,高知,13981.0,jikeiretsu_13,,,四国
1967,福岡,62214.0,jikeiretsu_13,,,九州・沖縄
1967,佐賀,15059.0,jikeiretsu_13,,,九州・沖縄
1967,長崎,22512.0,jikeiretsu_13,,,九州・沖縄
1967,熊本,18515.0,jikeiretsu_13,,,九州・沖縄
1967,大分,16496.0,jikeiretsu_13,,,九州・沖縄
1967,宮崎,3070.0,jikeiretsu_13,,,九州・沖縄
1967,鹿児島,1957.0,jikeiretsu_13,,,九州・沖縄
1967,沖縄,,jikeiretsu_13,,,九州・沖縄
1968,北海道,76037.0,jikeiretsu_13,,,北海道
1968,青森,25438.0,jikeiretsu_13,,,東北
1968,岩手,25056.0,jikeiretsu_13,,,東北
1968,宮城,30679.0,jikeiretsu_13,,,東北
1968,秋田,29707.0,jikeiretsu_13,,,東北
1968,山形,24066.0,jikeiretsu_13,,,東北
1968,福島,35442.0,jikeiretsu_13,,,東北
1968,茨城,31000.0,jikeiretsu_13,,,関東
1968,栃木,24644.0,jikeiretsu_13,,,関東
1968,群馬,23961.0,jikeiretsu_13,,,関東
1968,埼玉,42632.0,jikeiretsu_13,,,関東
1968,千葉,37807.0,jikeiretsu_13,,,関東
1968,東京,143211.0,jikeiretsu_13,,,関東
1968,神奈川,61356.0,jikeiretsu_13,,,関東
1968,新潟,44172.0,jikeiretsu_13,,,中部
1968,富山,16356.0,jikeiretsu_13,,,中部
1968,石川,15352.0,jikeiretsu_13,,,中部
1968,福井,10581.0,jikeiretsu_13,,,中部
1968,山梨,12043.0,jikeiretsu_13,,,中部
1968,長野,33166.0,jikeiretsu_13,,,中部
1968,岐阜,19697.0,jikeiretsu_13,,,中部
1968,静岡,44262.0,jikeiretsu_13,,,中部
1968,愛知,51770.0,jikeiretsu_13,,,中部
1968,三重,17128.0,jikeiretsu_13,,,中部
1968,滋賀,12155.0,jikeiretsu_13,,,近畿
1968,京都,25252.0,jikeiretsu_13,,,近畿
1968,大阪,94876.0,jikeiretsu_13,,,近畿
1968,兵庫,55084.0,jikeiretsu_13,,,近畿
1968,奈良,9947.0,jikeiretsu_13,,,近畿
1968,和歌山,14628.0,jikeiretsu_13,,,近畿
1968,鳥取,10981.0,jikeiretsu_13,,,中国
1968,島根,15729.0,jikeiretsu_13,,,中国
1968,岡山,24378.0,jikeiretsu_13,,,中国
1968,広島,37525.0,jikeiretsu_13,,,中国
1968,山口,25409.0,jikeiretsu_13,,,中国
1968,徳島,10836.0,jikeiretsu_13,,,四国
1968,香川,11336.0,jikeiretsu_13,,,四国
1968,愛媛,19778.0,jikeiretsu_13,,,四国
1968,高知,14603.0,jikeiretsu_13,,,四国
1968,福岡,63719.0,jikeiretsu_13,,,九州・沖縄
1968,佐賀,15896.0,jikeiretsu_13,,,九州・沖縄
1968,長崎,23257.0,jikeiretsu_13,,,九州・沖縄
