year,prefecture,respondent_count,self_pref_kl,self_bureau_kl,other_bureau_kl,total_kl,self_pref_pct,self_bureau_pct,other_bureau_pct,source,region
2024,徳島,10.0,284.0,24.0,32.0,340.0,83.5,7.2,9.3,新概況 r07,四国
2024,香川,6.0,540.0,5.0,294.0,839.0,64.3,0.6,35.1,新概況 r07,四国
2024,愛媛,28.0,806.0,131.0,216.0,1152.0,69.9,11.3,18.7,新概況 r07,四国
2024,高知,19.0,852.0,204.0,1891.0,2947.0,28.9,6.9,64.2,新概況 r07,四国
2024,福岡,38.0,1567.0,75.0,714.0,2356.0,66.5,3.2,30.3,新概況 r07,九州・沖縄
2024,佐賀,21.0,1250.0,283.0,864.0,2397.0,52.1,11.8,36.1,新概況 r07,九州・沖縄
2024,長崎,11.0,371.0,81.0,263.0,715.0,51.9,11.4,36.8,新概況 r07,九州・沖縄
2024,熊本,10.0,662.0,58.0,267.0,987.0,67.1,5.9,27.1,新概況 r07,九州・沖縄
2024,大分,26.0,1000.0,83.0,693.0,1776.0,56.3,4.7,39.0,新概況 r07,九州・沖縄
2024,宮崎,2.0,,,,,,,,新概況 r07,九州・沖縄
2024,鹿児島,2.0,,,,,,,,新概況 r07,九州・沖縄
2024,沖縄,,,,,,,,,新概況 r07,九州・沖縄
