year,prefecture,production_quantity_kl
2003,北海道,6886.0
2003,千葉,3050.0
2003,和歌山,4304.0
2003,埼玉,16225.0
2003,大分,5617.0
2003,大阪,2501.0
2003,奈良,5224.0
2003,宮城,8007.0
2003,富山,7928.0
2003,山口,2014.0
2003,山形,9556.0
2003,山梨,1676.0
2003,岐阜,6414.0
2003,岡山,6339.0
2003,岩手,6014.0
2003,島根,2773.0
2003,広島,16020.0
2003,徳島,1402.0
2003,愛媛,3401.0
2003,愛知,23228.0
2003,新潟,46565.0
2003,東京,23309.0
2003,栃木,6556.0
2003,滋賀,5713.0
2003,熊本,2886.0
2003,石川,7445.0
2003,神奈川,886.0
2003,福井,2900.0
2003,福岡,6466.0
2003,福島,17922.0
2003,秋田,22918.0
2003,群馬,4313.0
2003,茨城,6437.0
2003,長崎,1533.0
2003,長野,10358.0
2003,青森,4526.0
2003,静岡,4186.0
2003,香川,2545.0
2003,高知,7540.0
2003,鳥取,1541.0
2004,三重,3591.0
2004,京都,85946.0
2004,佐賀,4141.0
2004,兵庫,146494.0
2004,北海道,4758.0
2004,千葉,2637.0
2004,和歌山,4027.0
2004,埼玉,15201.0
2004,大分,4983.0
2004,大阪,2533.0
2004,奈良,3739.0
2004,宮城,6959.0
2004,富山,7077.0
2004,山口,1897.0
2004,山形,9363.0
2004,山梨,1249.0
2004,岐阜,4565.0
2004,岡山,5202.0
2004,岩手,4982.0
2004,島根,2379.0
2004,広島,12158.0
2004,徳島,925.0
2004,愛媛,2873.0
2004,愛知,21800.0
2004,新潟,40368.0
2004,東京,20209.0
2004,栃木,6234.0
2004,滋賀,4389.0
2004,熊本,2805.0
2004,石川,6827.0
2004,神奈川,863.0
2004,福井,2775.0
2004,福岡,5807.0
2004,福島,16256.0
2004,秋田,19109.0
2004,群馬,4285.0
2004,茨城,5678.0
2004,長崎,1201.0
2004,長野,9539.0
2004,青森,4628.0
2004,静岡,3969.0
2004,香川,1776.0
2004,高知,5416.0
2004,鳥取,1177.0
2005,三重,3266.0
2005,京都,84057.0
2005,佐賀,4044.0
2005,兵庫,149933.0
2005,北海道,5573.0
2005,千葉,2485.0
2005,和歌山,3905.0
2005,埼玉,13518.0
2005,大分,4091.0
2005,大阪,2413.0
2005,奈良,3648.0
2005,宮城,6882.0
2005,富山,5759.0
2005,山口,1678.0
2005,山形,8476.0
2005,山梨,1127.0
2005,岐阜,4668.0
2005,岡山,5244.0
2005,岩手,4070.0
2005,島根,2160.0
2005,広島,12331.0
2005,徳島,838.0
2005,愛媛,2518.0
2005,愛知,20748.0
2005,新潟,40163.0
2005,東京,15019.0
2005,栃木,6117.0
2005,滋賀,5331.0
2005,熊本,2577.0
2005,石川,6703.0
2005,神奈川,1027.0
2005,福井,2678.0
2005,福岡,5469.0
2005,福島,15187.0
2005,秋田,18553.0
2005,群馬,3664.0
2005,茨城,5294.0
2005,長崎,1041.0
2005,長野,8049.0
2005,青森,3856.0
2005,静岡,3656.0
2005,香川,1870.0
2005,高知,5393.0
2005,鳥取,972.0
2006,三重,3242.0
2006,京都,89712.0
2006,佐賀,4008.0
2006,兵庫,155311.0
2006,北海道,5172.0
2006,千葉,2895.0
2006,和歌山,4321.0
2006,埼玉,16418.0
2006,大分,4688.0
2006,大阪,3115.0
2006,奈良,3847.0
2006,宮城,6572.0
2006,富山,7025.0
2006,山口,1785.0
2006,山形,9053.0
2006,山梨,1144.0
2006,岐阜,4479.0
2006,岡山,5316.0
2006,岩手,4219.0
2006,島根,2041.0
2006,広島,13622.0
2006,徳島,660.0
2006,愛媛,2599.0
2006,愛知,19478.0
2006,新潟,41729.0
2006,東京,2303.0
2006,栃木,6322.0
2006,滋賀,4069.0
2006,熊本,2532.0
2006,石川,6896.0
2006,神奈川,989.0
2006,福井,2875.0
2006,福岡,4848.0
2006,福島,13424.0
2006,秋田,18756.0
2006,群馬,3260.0
2006,茨城,5010.0
2006,長崎,1080.0
2006,長野,9803.0
2006,青森,4128.0
2006,静岡,3915.0
2006,香川,2267.0
2006,高知,5917.0
2006,鳥取,1058.0
2007,三重,2978.0
2007,京都,91902.0
2007,佐賀,3494.0
2007,兵庫,144552.0
2007,北海道,4830.0
2007,千葉,2359.0
2007,和歌山,3389.0
2007,埼玉,19629.0
2007,大分,4410.0
2007,大阪,1049.0
2007,奈良,4803.0
2007,宮城,6609.0
2007,富山,8210.0
2007,山口,1839.0
2007,山形,8401.0
2007,山梨,1155.0
2007,岐阜,3605.0
2007,岡山,4893.0
2007,岩手,4135.0
2007,島根,1902.0
2007,広島,12471.0
2007,徳島,535.0
2007,愛媛,1937.0
2007,愛知,18849.0
2007,新潟,40599.0
2007,東京,2179.0
2007,栃木,6493.0
2007,滋賀,3878.0
2007,熊本,2651.0
2007,石川,6479.0
2007,神奈川,758.0
2007,福井,2698.0
2007,福岡,4503.0
2007,福島,13605.0
2007,秋田,17229.0
2007,群馬,2928.0
2007,茨城,4320.0
2007,長崎,1160.0
2007,長野,8612.0
2007,青森,4078.0
2007,静岡,3612.0
2007,香川,1272.0
2007,高知,5533.0
2007,鳥取,876.0
2008,三重,2831.0
2008,京都,89666.0
2008,佐賀,3241.0
2008,兵庫,142757.0
2008,北海道,4619.0
2008,千葉,2448.0
2008,和歌山,3479.0
2008,埼玉,20698.0
2008,大分,3796.0
2008,大阪,1108.0
2008,奈良,4163.0
2008,宮城,6556.0
2008,富山,6291.0
2008,山口,1852.0
2008,山形,7810.0
2008,山梨,1003.0
2008,岐阜,3593.0
2008,岡山,4398.0
2008,岩手,4063.0
