year,prefecture,sales_quantity_kl
1968,福岡,63719.0
1969,福岡,66159.0
1970,福岡,66933.0
1971,福岡,66151.0
1972,福岡,68194.0
1973,福岡,68318.0
1974,福岡,68699.0
1975,福岡,67812.0
1976,福岡,64506.0
1977,福岡,58898.0
1978,福岡,55609.0
1979,福岡,56674.0
1980,福岡,52848.0
1981,福岡,51232.0
1982,福岡,49669.0
1983,福岡,46062.0
1984,福岡,41346.0
1985,福岡,41369.0
1986,福岡,42829.0
1987,福岡,43758.0
1988,福岡,43866.0
1989,福岡,43377.0
1990,福岡,44199.0
1991,福岡,44967.0
1992,福岡,45270.0
1993,福岡,44762.0
1994,福岡,43721.0
1995,福岡,42434.0
1996,福岡,40996.0
1997,福岡,39371.0
1998,福岡,36413.0
1999,福岡,35316.0
2000,福岡,33852.0
2001,福岡,31334.0
2002,福岡,29792.0
2003,福岡,26301.0
2004,福岡,23634.0
2005,福岡,22777.0
2006,福岡,21979.0
2007,福岡,21063.0
2008,福岡,20041.0
2009,福岡,19881.0
2010,福岡,19575.0
2011,福岡,19527.0
2012,福岡,19185.0
2013,福岡,19201.0
2014,福岡,19068.0
2015,福岡,19745.0
2016,福岡,19006.0
2017,福岡,18241.0
2018,福岡,16880.0
2019,福岡,16511.0
2020,福岡,14141.0
2021,福岡,13777.0
2022,福岡,13383.0
2023,福岡,13378.0
1963,佐賀,11413.0
1964,佐賀,12293.0
1965,佐賀,13159.0
1966,佐賀,14896.0
1967,佐賀,15059.0
1968,佐賀,15896.0
1969,佐賀,16707.0
1970,佐賀,16993.0
1971,佐賀,17171.0
1972,佐賀,17683.0
1973,佐賀,17891.0
1974,佐賀,17131.0
1975,佐賀,17136.0
1976,佐賀,16234.0
1977,佐賀,15482.0
1978,佐賀,14747.0
1979,佐賀,15323.0
1980,佐賀,14108.0
1981,佐賀,13990.0
1982,佐賀,13624.0
1983,佐賀,12904.0
1984,佐賀,11616.0
1985,佐賀,11621.0
1986,佐賀,11867.0
1987,佐賀,12069.0
1988,佐賀,11852.0
1989,佐賀,11749.0
1990,佐賀,12081.0
1991,佐賀,12283.0
1992,佐賀,12262.0
1993,佐賀,12125.0
1994,佐賀,11456.0
1995,佐賀,11501.0
1996,佐賀,10837.0
1997,佐賀,10182.0
1998,佐賀,9623.0
1999,佐賀,9338.0
2000,佐賀,8636.0
2001,佐賀,8029.0
2002,佐賀,7375.0
2003,佐賀,6677.0
2004,佐賀,6046.0
2005,佐賀,5708.0
2006,佐賀,5316.0
2007,佐賀,4973.0
2008,佐賀,4701.0
2009,佐賀,4549.0
2010,佐賀,4593.0
2011,佐賀,4502.0
2012,佐賀,4369.0
2013,佐賀,4324.0
2014,佐賀,4184.0
2015,佐賀,4253.0
2016,佐賀,4166.0
2017,佐賀,4041.0
2018,佐賀,3677.0
2019,佐賀,3487.0
2020,佐賀,3224.0
2021,佐賀,3057.0
2022,佐賀,3040.0
2023,佐賀,2959.0
1963,長崎,17627.0
1964,長崎,18880.0
1965,長崎,20186.0
1966,長崎,22382.0
1967,長崎,22512.0
1968,長崎,23257.0
1969,長崎,24041.0
1970,長崎,23962.0
1971,長崎,23807.0
1972,長崎,24242.0
1973,長崎,23660.0
1974,長崎,23716.0
1975,長崎,23225.0
1976,長崎,21883.0
1977,長崎,20276.0
1978,長崎,18926.0
1979,長崎,19055.0
1980,長崎,17625.0
1981,長崎,17170.0
1982,長崎,16441.0
1983,長崎,15521.0
1984,長崎,13847.0
1985,長崎,13452.0
1986,長崎,13727.0
1987,長崎,14171.0
1988,長崎,14102.0
1989,長崎,13938.0
1990,長崎,14006.0
1991,長崎,14351.0
1992,長崎,14616.0
1993,長崎,14588.0
1994,長崎,13843.0
1995,長崎,14105.0
1996,長崎,13556.0
1997,長崎,12524.0
1998,長崎,11606.0
1999,長崎,11269.0
2000,長崎,10520.0
2001,長崎,9990.0
2002,長崎,9494.0
2003,長崎,8684.0
2004,長崎,7445.0
2005,長崎,7046.0
2006,長崎,6614.0
2007,長崎,5896.0
2008,長崎,5784.0
2009,長崎,5812.0
2010,長崎,5568.0
2011,長崎,5527.0
2012,長崎,5271.0
2013,長崎,5309.0
2014,長崎,5126.0
2015,長崎,5015.0
2016,長崎,4885.0
2017,長崎,4756.0
2018,長崎,4558.0
2019,長崎,4222.0
2020,長崎,3796.0
2021,長崎,4500.0
2022,長崎,3682.0
2023,長崎,3569.0
1963,熊本,15699.0
1964,熊本,16598.0
1965,熊本,17309.0
1966,熊本,19132.0
1967,熊本,18515.0
1968,熊本,18443.0
1969,熊本,18434.0
1970,熊本,18129.0
1971,熊本,17727.0
1972,熊本,18369.0
1973,熊本,18490.0
1974,熊本,17953.0
1975,熊本,18217.0
1976,熊本,16811.0
1977,熊本,15439.0
1978,熊本,14366.0
1979,熊本,13957.0
1980,熊本,12828.0
1981,熊本,12123.0
1982,熊本,11829.0
1983,熊本,10886.0
1984,熊本,9329.0
1985,熊本,9437.0
1986,熊本,9605.0
1987,熊本,9716.0
1988,熊本,9621.0
1989,熊本,9728.0
1990,熊本,9976.0
1991,熊本,9892.0
1992,熊本,9865.0
1993,熊本,9891.0
1994,熊本,9422.0
1995,熊本,9246.0
1996,熊本,8856.0
1997,熊本,8264.0
1998,熊本,7618.0
1999,熊本,7518.0
2000,熊本,6839.0
2001,熊本,6668.0
2002,熊本,6296.0
2003,熊本,5882.0
2004,熊本,5135.0
2005,熊本,4899.0
2006,熊本,4796.0
2007,熊本,4315.0
2008,熊本,4422.0
2009,熊本,4303.0
2010,熊本,4226.0
2011,熊本,4191.0
2012,熊本,4215.0
2013,熊本,4581.0
2014,熊本,4251.0
2015,熊本,4093.0
2016,熊本,4175.0
2017,熊本,4111.0
2018,熊本,3868.0
2019,熊本,3643.0
2020,熊本,3375.0
2021,熊本,3395.0
2022,熊本,3320.0
2023,熊本,3334.0
1963,大分,13978.0
1964,大分,14667.0
1965,大分,15570.0
1966,大分,16884.0
1967,大分,16496.0
1968,大分,16368.0
1969,大分,16393.0
1970,大分,16349.0
1971,大分,16199.0
1972,大分,15706.0
1973,大分,15824.0
1974,大分,15721.0
1975,大分,16083.0
1976,大分,14707.0
1977,大分,13733.0
1978,大分,13046.0
1979,大分,13249.0
1980,大分,12084.0
1981,大分,11634.0
1982,大分,11573.0
1983,大分,10904.0
1984,大分,9430.0
1985,大分,9373.0
1986,大分,9614.0
1987,大分,10131.0
1988,大分,9998.0
1989,大分,10356.0
1990,大分,10674.0
1991,大分,10634.0
1992,大分,10487.0
1993,大分,10420.0
1994,大分,9837.0
1995,大分,10112.0
1996,大分,9708.0
1997,大分,9234.0
1998,大分,8579.0
1999,大分,8610.0
2000,大分,7550.0
2001,大分,7046.0
2002,大分,6788.0
2003,大分,6305.0
2004,大分,5701.0
2005,大分,5122.0
2006,大分,5147.0
2007,大分,4957.0
2008,大分,4778.0
2009,大分,4621.0
2010,大分,4464.0
2011,大分,4392.0
2012,大分,4761.0
2013,大分,4235.0
2014,大分,4269.0
2015,大分,4530.0
2016,大分,4165.0
2017,大分,4123.0
2018,大分,3750.0
2019,大分,3600.0
2020,大分,3193.0
2021,大分,3093.0
2022,大分,3169.0
2023,大分,3072.0
1963,宮崎,3603.0
1964,宮崎,3482.0
1965,宮崎,3236.0
1966,宮崎,3206.0
1967,宮崎,3070.0
1968,宮崎,2982.0
1969,宮崎,2873.0
1970,宮崎,2791.0
1971,宮崎,2785.0
1972,宮崎,2979.0
1973,宮崎,3217.0
1974,宮崎,3221.0
1975,宮崎,3221.0
1976,宮崎,2978.0
1977,宮崎,2748.0
1978,宮崎,2659.0
1979,宮崎,2786.0
1980,宮崎,2598.0
1981,宮崎,2513.0
1982,宮崎,2466.0
1983,宮崎,2332.0
1984,宮崎,2136.0
1985,宮崎,2139.0
1986,宮崎,2294.0
1987,宮崎,2421.0
1988,宮崎,2554.0
1989,宮崎,2652.0
1990,宮崎,2906.0
1991,宮崎,2969.0
1992,宮崎,3085.0
1993,宮崎,3184.0
1994,宮崎,3082.0
1995,宮崎,3138.0
1996,宮崎,3059.0
1997,宮崎,2859.0
1998,宮崎,2648.0
1999,宮崎,2699.0
2000,宮崎,2483.0
2001,宮崎,2448.0
2002,宮崎,2367.0
2003,宮崎,2428.0
2004,宮崎,2001.0
2005,宮崎,2291.0
2006,宮崎,1952.0
2007,宮崎,1953.0
2008,宮崎,1870.0
2009,宮崎,1822.0
2010,宮崎,1844.0
2011,宮崎,1921.0
2012,宮崎,2012.0
2013,宮崎,2065.0
2014,宮崎,2087.0
2015,宮崎,2106.0
2016,宮崎,2092.0
2017,宮崎,2068.0
2018,宮崎,2111.0
2019,宮崎,1867.0
2020,宮崎,1757.0
2021,宮崎,1706.0
2022,宮崎,1698.0
2023,宮崎,1707.0
1963,鹿児島,2575.0
1964,鹿児島,2555.0
1965,鹿児島,2287.0
1966,鹿児島,2126.0
1967,鹿児島,1957.0
1968,鹿児島,1746.0
1969,鹿児島,1694.0
1970,鹿児島,1678.0
1971,鹿児島,1719.0
1972,鹿児島,1961.0
1973,鹿児島,2122.0
1974,鹿児島,2109.0
1975,鹿児島,2095.0
1976,鹿児島,1951.0
1977,鹿児島,1815.0
1978,鹿児島,1787.0
1979,鹿児島,1803.0
1980,鹿児島,1669.0
1981,鹿児島,1592.0
1982,鹿児島,1552.0
1983,鹿児島,1473.0
1984,鹿児島,1330.0
1985,鹿児島,1363.0
1986,鹿児島,1414.0
1987,鹿児島,1476.0
1988,鹿児島,1529.0
1989,鹿児島,1619.0
1990,鹿児島,1758.0
1991,鹿児島,1967.0
1992,鹿児島,1947.0
1993,鹿児島,2034.0
1994,鹿児島,1970.0
1995,鹿児島,2070.0
1996,鹿児島,2061.0
1997,鹿児島,1955.0
1998,鹿児島,1883.0
1999,鹿児島,1829.0
2000,鹿児島,1857.0
2001,鹿児島,1974.0
2002,鹿児島,1729.0
2003,鹿児島,1634.0
2004,鹿児島,1490.0
2005,鹿児島,1413.0
2006,鹿児島,1445.0
2007,鹿児島,1451.0
2008,鹿児島,1409.0
2009,鹿児島,1367.0
2010,鹿児島,1379.0
2011,鹿児島,1531.0
2012,鹿児島,1603.0
2013,鹿児島,1704.0
2014,鹿児島,1807.0
2015,鹿児島,1615.0
2016,鹿児島,1591.0
2017,鹿児島,1573.0
2018,鹿児島,1501.0
2019,鹿児島,1425.0
2020,鹿児島,1441.0
2021,鹿児島,1445.0
2022,鹿児島,1397.0
2023,鹿児島,1410.0
1963,沖縄,
1964,沖縄,
1965,沖縄,
1966,沖縄,
1967,沖縄,
1968,沖縄,
1969,沖縄,
1970,沖縄,
1971,沖縄,
1972,沖縄,
1973,沖縄,
1974,沖縄,
1975,沖縄,
1976,沖縄,
1977,沖縄,
1978,沖縄,
1979,沖縄,
1980,沖縄,
1981,沖縄,
1982,沖縄,
1983,沖縄,
1984,沖縄,
1985,沖縄,
1986,沖縄,
1987,沖縄,
1988,沖縄,
1989,沖縄,
1990,沖縄,
1991,沖縄,
1992,沖縄,
1993,沖縄,
1994,沖縄,
1995,沖縄,
1996,沖縄,
1997,沖縄,
1998,沖縄,
1999,沖縄,
2000,沖縄,
2001,沖縄,
2002,沖縄,
2003,沖縄,
2004,沖縄,951.0
2005,沖縄,931.0
2006,沖縄,900.0
2007,沖縄,895.0
2008,沖縄,766.0
2009,沖縄,1016.0
2010,沖縄,1290.0
2011,沖縄,1159.0
2012,沖縄,1186.0
2013,沖縄,1211.0
2014,沖縄,1138.0
2015,沖縄,1427.0
2016,沖縄,1359.0
2017,沖縄,1244.0
2018,沖縄,1219.0
2019,沖縄,952.0
2020,沖縄,1068.0
2021,沖縄,1347.0
2022,沖縄,1276.0
2023,沖縄,1169.0
