year,prefecture,population_total_k,age_0_14_k,age_15_plus_k
1967,山口,1530.8,,
1967,山形,1248.2,,
1967,山梨,762.6,,
1967,岐阜,1723.6,,
1967,岡山,1669.8,,
1967,岩手,1395.0,,
1967,島根,802.8,,
1967,広島,2343.0,,
1967,徳島,805.4,,
1967,愛媛,1434.8,,
1967,愛知,5033.8,,
1967,新潟,2383.8,,
1967,東京,11084.6,,
1967,栃木,1545.2,,
1967,沖縄,938.4,,
1967,滋賀,867.8,,
1967,熊本,1742.6,,
1967,石川,988.8,,
1967,神奈川,4847.4,,
1967,福井,748.2,,
1967,福岡,3989.8,,
1967,福島,1968.8,,
1967,秋田,1264.4,,
1967,群馬,1627.2,,
1967,茨城,2091.2,,
1967,長崎,1612.6,,
1967,長野,1957.6,,
1967,青森,1421.4,,
1967,静岡,2983.8,,
1967,香川,903.8,,
1967,高知,802.6,,
1967,鳥取,575.6,,
1967,鹿児島,1804.0,,
1968,三重,1531.4,,
1968,京都,2191.2,,
1968,佐賀,851.6,,
1968,兵庫,4524.8,,
1968,北海道,5179.2,,
1968,千葉,3101.0,,
1968,和歌山,1036.6,,
1968,埼玉,3525.6,,
1968,大分,1168.4,,
1968,大阪,7234.8,,
1968,奈良,888.4,,
1968,宮城,1792.6,,
1968,宮崎,1063.0,,
1968,富山,1028.0,,
1968,山口,1524.2,,
1968,山形,1240.8,,
1968,山梨,762.4,,
1968,岐阜,1735.4,,
1968,岡山,1682.2,,
1968,岩手,1387.0,,
1968,島根,793.2,,
1968,広島,2374.0,,
1968,徳島,800.6,,
1968,愛媛,1429.2,,
1968,愛知,5151.2,,
1968,新潟,2376.2,,
1968,東京,11192.4,,
1968,栃木,1556.8,,
1968,沖縄,940.6,,
1968,滋賀,875.2,,
1968,熊本,1728.4,,
1968,石川,993.2,,
1968,神奈川,5055.6,,
1968,福井,746.8,,
1968,福岡,4002.2,,
1968,福島,1961.2,,
1968,秋田,1256.6,,
1968,群馬,1637.8,,
1968,茨城,2108.8,,
1968,長崎,1598.4,,
1968,長野,1957.4,,
1968,青森,1423.6,,
1968,静岡,3019.2,,
1968,香川,905.2,,
1968,高知,797.4,,
1968,鳥取,573.4,,
1968,鹿児島,1779.0,,
1969,三重,1537.2,,
1969,京都,2220.6,,
1969,佐賀,844.8,,
1969,兵庫,4596.4,,
1969,北海道,5181.6,,
1969,千葉,3234.0,,
1969,和歌山,1039.8,,
1969,埼玉,3695.8,,
1969,大分,1162.2,,
1969,大阪,7427.4,,
1969,奈良,909.2,,
1969,宮城,1805.8,,
1969,宮崎,1057.0,,
1969,富山,1029.0,,
1969,山口,1517.6,,
1969,山形,1233.4,,
1969,山梨,762.2,,
1969,岐阜,1747.2,,
1969,岡山,1694.6,,
1969,岩手,1379.0,,
1969,島根,783.6,,
1969,広島,2405.0,,
1969,徳島,795.8,,
1969,愛媛,1423.6,,
1969,愛知,5268.6,,
1969,新潟,2368.6,,
1969,東京,11300.2,,
1969,栃木,1568.4,,
1969,沖縄,942.8,,
1969,滋賀,882.6,,
1969,熊本,1714.2,,
1969,石川,997.6,,
1969,神奈川,5263.8,,
1969,福井,745.4,,
1969,福岡,4014.6,,
1969,福島,1953.6,,
1969,秋田,1248.8,,
1969,群馬,1648.4,,
1969,茨城,2126.4,,
1969,長崎,1584.2,,
1969,長野,1957.2,,
1969,青森,1425.8,,
1969,静岡,3054.6,,
1969,香川,906.6,,
1969,高知,792.2,,
1969,鳥取,571.2,,
1969,鹿児島,1754.0,,
1970,三重,1543.0,,
1970,京都,2250.0,,
1970,佐賀,838.0,,
1970,兵庫,4668.0,,
1970,北海道,5184.0,,
1970,千葉,3367.0,,
1970,和歌山,1043.0,,
1970,埼玉,3866.0,,
1970,大分,1156.0,,
1970,大阪,7620.0,,
1970,奈良,930.0,,
1970,宮城,1819.0,,
1970,宮崎,1051.0,,
1970,富山,1030.0,,
1970,山口,1511.0,,
1970,山形,1226.0,,
1970,山梨,762.0,,
1970,岐阜,1759.0,,
1970,岡山,1707.0,,
1970,岩手,1371.0,,
1970,島根,774.0,,
1970,広島,2436.0,,
1970,徳島,791.0,,
1970,愛媛,1418.0,,
1970,愛知,5386.0,,
1970,新潟,2361.0,,
1970,東京,11408.0,,
1970,栃木,1580.0,,
1970,沖縄,945.0,,
1970,滋賀,890.0,,
1970,熊本,1700.0,,
1970,石川,1002.0,,
1970,神奈川,5472.0,,
1970,福井,744.0,,
1970,福岡,4027.0,,
1970,福島,1946.0,,
1970,秋田,1241.0,,
1970,群馬,1659.0,,
1970,茨城,2144.0,,
1970,長崎,1570.0,,
1970,長野,1957.0,,
1970,青森,1428.0,,
1970,静岡,3090.0,,
1970,香川,908.0,,
1970,高知,787.0,,
1970,鳥取,569.0,,
1970,鹿児島,1729.0,,
1971,三重,1559.6,,
1971,京都,2285.0,,
1971,佐賀,838.0,,
1971,兵庫,4732.8,,
1971,北海道,5214.8,,
1971,千葉,3523.4,,
1971,和歌山,1048.8,,
1971,埼玉,4057.0,,
1971,大分,1162.8,,
1971,大阪,7751.8,,
1971,奈良,959.4,,
1971,宮城,1846.2,,
1971,宮崎,1057.8,,
1971,富山,1038.2,,
1971,山口,1519.8,,
1971,山形,1224.8,,
1971,山梨,766.2,,
1971,岐阜,1780.8,,
1971,岡山,1728.4,,
1971,岩手,1374.0,,
1971,島根,773.0,,
1971,広島,2478.0,,
1971,徳島,793.8,,
1971,愛媛,1427.4,,
1971,愛知,5493.6,,
1971,新潟,2367.2,,
1971,東京,11461.2,,
1971,栃木,1603.6,,
1971,沖縄,964.6,,
1971,滋賀,909.2,,
1971,熊本,1703.0,,
1971,石川,1015.6,,
1971,神奈川,5657.2,,
1971,福井,750.0,,
1971,福岡,4080.2,,
1971,福島,1951.0,,
1971,秋田,1239.2,,
1971,群馬,1678.4,,
1971,茨城,2183.6,,
1971,長崎,1570.4,,
1971,長野,1969.2,,
1971,青森,1436.2,,
1971,静岡,3133.8,,
1971,香川,918.6,,
1971,高知,791.2,,
1971,鳥取,571.4,,
1971,鹿児島,1728.0,,
1972,三重,1576.2,,
1972,京都,2320.0,,
1972,佐賀,838.0,,
1972,兵庫,4797.6,,
1972,北海道,5245.6,,
1972,千葉,3679.8,,
1972,和歌山,1054.6,,
1972,埼玉,4248.0,,
1972,大分,1169.6,,
1972,大阪,7883.6,,
1972,奈良,988.8,,
1972,宮城,1873.4,,
1972,宮崎,1064.6,,
1972,富山,1046.4,,
1972,山口,1528.6,,
1972,山形,1223.6,,
1972,山梨,770.4,,
1972,岐阜,1802.6,,
1972,岡山,1749.8,,
1972,岩手,1377.0,,
1972,島根,772.0,,
1972,広島,2520.0,,
1972,徳島,796.6,,
1972,愛媛,1436.8,,
1972,愛知,5601.2,,
1972,新潟,2373.4,,
1972,東京,11514.4,,
1972,栃木,1627.2,,
1972,沖縄,984.2,,
1972,滋賀,928.4,,
1972,熊本,1706.0,,
1972,石川,1029.2,,
1972,神奈川,5842.4,,
1972,福井,756.0,,
1972,福岡,4133.4,,
1972,福島,1956.0,,
1972,秋田,1237.4,,
1972,群馬,1697.8,,
1972,茨城,2223.2,,
1972,長崎,1570.8,,
1972,長野,1981.4,,
1972,青森,1444.4,,
1972,静岡,3177.6,,
1972,香川,929.2,,
1972,高知,795.4,,
1972,鳥取,573.8,,
1972,鹿児島,1727.0,,
1973,三重,1592.8,,
1973,京都,2355.0,,
1973,佐賀,838.0,,
1973,兵庫,4862.4,,
1973,北海道,5276.4,,
1973,千葉,3836.2,,
1973,和歌山,1060.4,,
1973,埼玉,4439.0,,
1973,大分,1176.4,,
1973,大阪,8015.4,,
1973,奈良,1018.2,,
1973,宮城,1900.6,,
1973,宮崎,1071.4,,
