year,prefecture,production_quantity_kl
2012,佐賀,2369.0
2012,長崎,838.0
2012,熊本,1128.0
2012,大分,2974.0
2012,宮崎,
2012,鹿児島,
2012,沖縄,
2013,北海道,4410.0
2013,青森,3880.0
2013,岩手,4214.0
2013,宮城,7762.0
2013,秋田,16249.0
2013,山形,8686.0
2013,福島,12200.0
2013,茨城,3985.0
2013,栃木,7760.0
2013,群馬,2818.0
2013,埼玉,16862.0
2013,新潟,39071.0
2013,長野,8227.0
2013,千葉,6366.0
2013,東京,1653.0
2013,神奈川,758.0
2013,山梨,9281.0
2013,富山,5293.0
2013,石川,5521.0
2013,福井,2748.0
2013,岐阜,3858.0
2013,静岡,3762.0
2013,愛知,14045.0
2013,三重,2022.0
2013,滋賀,3675.0
2013,京都,73178.0
2013,大阪,906.0
2013,兵庫,130349.0
2013,奈良,3751.0
2013,和歌山,2192.0
2013,鳥取,716.0
2013,島根,1809.0
2013,岡山,2685.0
2013,広島,9695.0
2013,山口,3722.0
2013,徳島,433.0
2013,香川,1162.0
2013,愛媛,1880.0
2013,高知,4886.0
2013,福岡,4202.0
2013,佐賀,2413.0
2013,長崎,935.0
2013,熊本,1051.0
2013,大分,2941.0
2013,宮崎,
2013,鹿児島,
2013,沖縄,
2014,北海道,4499.0
2014,青森,3840.0
2014,岩手,4005.0
2014,宮城,7892.0
2014,秋田,17569.0
2014,山形,9379.0
2014,福島,13357.0
2014,茨城,3774.0
2014,栃木,7995.0
2014,群馬,2859.0
2014,埼玉,18139.0
2014,新潟,38788.0
2014,長野,8562.0
2014,千葉,6239.0
2014,東京,1712.0
2014,神奈川,943.0
2014,山梨,9928.0
2014,富山,4821.0
2014,石川,6518.0
2014,福井,2995.0
2014,岐阜,3836.0
2014,静岡,4112.0
2014,愛知,13976.0
2014,三重,2170.0
2014,滋賀,3754.0
2014,京都,71766.0
2014,大阪,850.0
2014,兵庫,126548.0
2014,奈良,3703.0
2014,和歌山,2422.0
2014,鳥取,667.0
2014,島根,1909.0
2014,岡山,2550.0
2014,広島,10244.0
2014,山口,4194.0
2014,徳島,477.0
2014,香川,1200.0
2014,愛媛,1936.0
